,AgencyName,OrgType,Population,City,State,International,firecares_id,,,,
137,Metro West Fire Protection District,Career,77527,Wildwood,MO,FALSE,88510,,,,
138,Miami-Dade Fire Rescue Department,Career,1900000,Doral,FL,FALSE,88539,,,,
139,Mokena Fire Protection District,Combination,17500,Mokena,IL,FALSE,88935,,,,
140,Stoney Point Fire Department,Volunteer,9679,Fayetteville,NC,FALSE,96244,,,,
141,"Asheville Fire Department, City of",Career,88512,Asheville,NC,FALSE,73930,,,,
142,Shelby Fire & Rescue Department,Career,22000,Shelby,NC,FALSE,94902,,,,
143,Monroe Fire Department,Career,34331,Monroe,NC,FALSE,88988,,,,
144,Montgomery County Fire Rescue Service,Combination,1040116,Gaithersburg,MD,FALSE,89077,,,,
145,Morrisville Fire/Rescue Department,Combination,25141,Morrisville,NC,FALSE,89257,,,,
146,Mountain View Fire Protection District,Combination,50000,Longmont,CO,FALSE,89430,,,,
147,Naperville Fire Department,Career,147000,Naperville,IL,FALSE,89621,,,,
148,NAS JRB New Orleans Fire & Emergency Services,DoD,8500,New Orleans,LA,FALSE,89653,,,,
149,"Navy Region Hawaii, Federal Fire Department",DoD,76500,Jbphh,HI,FALSE,81376,,,,
150,Newport News Fire Department,Career,183412,Newport News,VA,FALSE,90123,,,,
151,North Charleston Fire Department,Career,109000,North Charleston,SC,FALSE,90338,,,,
152,North Shore Fire Department,Career,64830,Brown Deer,WI,FALSE,90517,,,,
153,Oak Creek Fire Department,Career,35451,Oak Creek,WI,FALSE,77803,,,,
154,O'Fallon Fire Protection District,Combination,85000,O Fallon,MO,FALSE,90740,,,,
155,Olathe Fire Department,Career,134946,Olathe,KS,FALSE,90962,,,,
156,Little Rock Air Force Base,DoD,12500,Little Rock AFB,AR,FALSE,100246,,,,
157,Lincoln Fire & Rescue,Career,277348,Lincoln,NE,FALSE,86868,,,,
158,Joint Base McGuire-Dix-Lakehurst Fire & Emergency Services,DoD,42000,JB MDL,NJ,FALSE,88233,,,,
159,Orange County Fire Rescue Department,Career,1012966,Winter Park,FL,FALSE,91106,,,,
160,Orlando Fire Department,Career,270934,Orlando,FL,FALSE,91165,,,,
161,Overland Park Fire Department,Combination,187730,Overland Park,KS,FALSE,91291,,,,
162,Palm Beach Gardens Fire Rescue,Career,51919,Palm Beach Gardens,FL,FALSE,91409,,,,
163,Palm Harbor Fire Rescue,Career,60000,Palm Harbor,FL,FALSE,91413,,,,
164,Parris Island Fire Rescue,DoD,30000,Parris Island,SC,FALSE,91557,,,,
165,Pasadena Fire Department,Career,142059,Pasadena,CA,FALSE,91573,,,,
166,Peoria Fire-Medical Department,Career,163094,Peoria,AZ,FALSE,91783,,,,
167,Union Township Fire Department,Career,46416,Cincinnati,OH,FALSE,97716,,,,
168,Maxwell AFB Fire Emergency Services Flight,DoD,12600,Maxwell AFB,AL,FALSE,100247,,,,
169,Washington Township Fire Department (Dayton),Combination,56607,Dayton,OH,FALSE,98573,,,,
170,Beachwood Department of Fire Rescue,Career,11867,Beachwood,OH,FALSE,74525,,,,
171,Pewaukee Fire Department,Combination,21500,Waukesha,WI,FALSE,91894,,,,
172,"Washington Township Fire-Dublin,Ohio",Career,42000,Dublin,OH,FALSE,98599,,,,
173,Tinker Fire & Emergency Services,DoD,27000,Tinker AFB,OK,FALSE,96997,,,,
174,Ottawa Fire Services,Combination,960756,Ottawa,ON,FALSE,,,,,
175,Guelph Fire Department,Career,122000,Guelph,ON,FALSE,,,,,
176,Clackamas County Fire District #1,Combination,220000,Milwaukie,OR,FALSE,77948,,,,
177,MCAS Yuma Fire Department,DoD,8000,Yuma,AZ,FALSE,100238,,,,
178,Plano Fire-Rescue,Career,271140,Plano,TX,FALSE,92242,,,,
179,Mt. Lebanon Fire Department,Combination,33000,Pittsburgh,PA,FALSE,89348,,,,
180,Qatargas Operating Company Limited - Emergency Management Services Department,Other,,,Qatar,TRUE,,,,,
181,"Navy Region Mid-Atlantic F&ES, NAVSTA Newport",DoD,13000,Newport,RI,FALSE,89695,,,,
182,Portage Department of Public Safety,Combination,47937,Portage,MI,FALSE,92516,,,,
183,Shaw Fire Emergency Services,DoD,12000,Shaw AFB,SC,FALSE,94862,,,,
184,Poudre Fire Authority,Combination,198544,Fort Collins,CO,FALSE,92612,,,,
185,Pueblo Fire Department,Career,109412,Pueblo,CO,FALSE,92789,,,,
186,Naval Support Activity Panama City,DoD,4053,Panama City,FL,FALSE,100248,,,,
187,Ridge Road Fire District,Career,24559,Rochester,NY,FALSE,93384,,,,
188,Rockford Fire Department,Career,152871,Rockford,IL,FALSE,93644,,,,
189,Rogers Fire Department,Career,61144,Rogers,AR,FALSE,93717,,,,
190,Hilton Head Island Fire & Rescue,Career,40039,Hilton Head Island,SC,FALSE,96833,,,,
191,Roseville Fire Department,Career,134073,Roseville,CA,FALSE,77855,,,,
